코스피,코스닥
,A024910
,A004780
,A013120
,A024830
,A024810
,A024880
,A024120
,A017000
,A024060
,A023910
,A001840
,A023900
,A017650
,A010170
,A023790
,A023770
,A023760
,A005860
,A012860
,A023460
,A006050
,A023410
,A023440
,A006910
,A018290
,A023160
,A007530
,A001000
,A012620
,A011370
,A018700
,A014470
,A007720
,A007720
,A013720
,A006580
,A011320
,A018120
,A009620
,A005670
,A007330
,A006140
,A019010
,A009780
,A020400
,A014200
,A005710
,A016600
,A004590
,A016670
,A000440
,A014970
,A011040
,A008370
,A007390
,A002290
,A019540
,A007770
,A017890
,A003310
,A019660
,A017510
,A021080
,A008830
,A002230
,A009730
,A016920
,A013030
,A019550
,A019570
,A019590
,A006920
